depth,Info Gain Training Err,Info Gain Testing Err,Majority Error Training Err,Majority Error Testing Err,Average Training Err,Average Testing Err,Average Info Gain Err,Average Majority Error Err,Average Tree Depth Err
1,0.302,0.2967032967032967,0.302,0.2967032967032967,0.302,0.2967032967032967,0.29935164835164835,0.29935164835164835,0.29935164835164835
2,0.222,0.22252747252747251,0.292,0.3131868131868132,0.257,0.26785714285714285,0.22226373626373624,0.3025934065934066,0.2624285714285714
3,0.181,0.19642857142857142,0.206,0.21153846153846154,0.1935,0.20398351648351648,0.18871428571428572,0.20876923076923076,0.19874175824175824
4,0.082,0.1510989010989011,0.166,0.20604395604395603,0.124,0.17857142857142855,0.11654945054945054,0.186021978021978,0.1512857142857143
5,0.027,0.08653846153846154,0.131,0.1771978021978022,0.079,0.13186813186813187,0.056769230769230766,0.15409890109890112,0.10543406593406593
6,0.0,0.08653846153846154,0.119,0.1771978021978022,0.0595,0.13186813186813187,0.04326923076923077,0.14809890109890111,0.09568406593406593
7,0.0,0.08653846153846154,0.119,0.1771978021978022,0.0595,0.13186813186813187,0.04326923076923077,0.14809890109890111,0.09568406593406593
